Title,English Title,Type,Country,Year,Director and protagonist,Rating,Official Link
加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,动作冒险奇幻,美国,2003,导演:戈尔·维宾斯基GoreVerbinski主演:约翰尼·德普JohnnyDepp,8.8,https://movie.douban.com/subject/1298070/
一一,无,剧情爱情家庭,中国台湾日本,2000,导演:杨德昌EdwardYang主演:吴念真,9.1,https://movie.douban.com/subject/1292434/
狩猎,Jagten,剧情,丹麦瑞典,2012,导演:托马斯·温特伯格ThomasVinterberg主演:麦斯·米科尔森MadsMik...,9.1,https://movie.douban.com/subject/6985810/
唐伯虎点秋香,唐伯虎點秋香,喜剧爱情古装,中国香港,1993,导演:李力持Lik-ChiLee主演:周星驰StephenChow,8.7,https://movie.douban.com/subject/1306249/
7号房的礼物,7번방의 선물,剧情喜剧家庭,韩国,2013,导演:李焕庆Hwan-kyeongLee主演:柳承龙Seung-yongRyoo,8.9,https://movie.douban.com/subject/10777687/
被嫌弃的松子的一生,嫌われ松子の一生,剧情歌舞,日本,2006,导演:中岛哲也TetsuyaNakashima主演:中谷美纪MikiNakatani,8.9,https://movie.douban.com/subject/1787291/
蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,剧情动作科幻犯罪惊悚,美国英国,2012,导演:克里斯托弗·诺兰ChristopherNolan主演:克里斯蒂安·贝尔Christ...,8.9,https://movie.douban.com/subject/3395373/
请以你的名字呼唤我,Call Me by Your Name,剧情爱情同性,意大利法国巴西美国,2017,导演:卢卡·瓜达尼诺LucaGuadagnino主演:艾米·汉莫ArmieHammer,8.8,https://movie.douban.com/subject/26799731/
爱在黎明破晓前,Before Sunrise,剧情爱情,美国奥地利瑞士,1995,导演:理查德·林克莱特RichardLinklater主演:伊桑·霍克EthanHawke...,8.8,https://movie.douban.com/subject/1296339/
剪刀手爱德华,Edward Scissorhands,剧情奇幻爱情,美国,1990,导演:蒂姆·波顿TimBurton主演:约翰尼·德普JohnnyDepp,8.7,https://movie.douban.com/subject/1292370/
断背山,Brokeback Mountain,剧情爱情同性家庭,美国加拿大,2005,导演:李安AngLee主演:希斯·莱杰HeathLedger,8.8,https://movie.douban.com/subject/1418834/
入殓师,おくりびと,剧情,日本,2008,导演:泷田洋二郎YôjirôTakita主演:本木雅弘MasahiroMotoki,8.9,https://movie.douban.com/subject/2149806/
第六感,The Sixth Sense,剧情悬疑惊悚,美国,1999,导演:M·奈特·沙马兰M.NightShyamalan主演:布鲁斯·威利斯BruceWi...,8.9,https://movie.douban.com/subject/1297630/
重庆森林,重慶森林,剧情爱情,中国香港,1994,导演:王家卫KarWaiWong主演:林青霞BrigitteLin,8.8,https://movie.douban.com/subject/1291999/
超能陆战队,Big Hero 6,喜剧动作科幻动画冒险,美国,2014,导演:唐·霍尔DonHall,8.7,https://movie.douban.com/subject/11026735/
勇敢的心,Braveheart,动作传记剧情历史战争,美国,1995,导演:梅尔·吉布森MelGibson主演:梅尔·吉布森MelGibson,8.9,https://movie.douban.com/subject/1294639/
甜蜜蜜,无,剧情爱情,中国香港,1996,导演:陈可辛PeterChan主演:黎明LeonLai,8.9,https://movie.douban.com/subject/1305164/
幽灵公主,もののけ姫,动画奇幻冒险,日本,1997,导演:宫崎骏HayaoMiyazaki主演:松田洋治YôjiMatsuda,8.9,https://movie.douban.com/subject/1297359/
爱在日落黄昏时,Before Sunset,剧情爱情,美国法国,2004,导演:理查德·林克莱特RichardLinklater主演:伊桑·霍克EthanHawke...,8.9,https://movie.douban.com/subject/1291990/
菊次郎的夏天,菊次郎の夏,剧情喜剧,日本,1999,导演:北野武TakeshiKitano主演:北野武TakeshiKitano,8.9,https://movie.douban.com/subject/1293359/
寄生虫,기생충,剧情,韩国,2019,导演:奉俊昊Joon-hoBong主演:宋康昊Kang-hoSong,8.8,https://movie.douban.com/subject/27010768/
借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,动画奇幻冒险,日本,2010,导演:米林宏昌HiromasaYonebayashi主演:志田未来MiraiShida,8.9,https://movie.douban.com/subject/4202302/
消失的爱人,Gone Girl,剧情犯罪悬疑惊悚,美国,2014,导演:大卫·芬奇DavidFincher主演:本·阿弗莱克BenAffleck,8.7,https://movie.douban.com/subject/21318488/
阳光灿烂的日子,无,剧情爱情,中国大陆中国香港,1994,导演:姜文WenJiang主演:夏雨YuXia,8.8,https://movie.douban.com/subject/1291875/
天使爱美丽,Le fabuleux destin d'Amélie Poulain,剧情喜剧爱情,法国德国,2001,导演:让-皮埃尔·热内Jean-PierreJeunet主演:奥黛丽·塔图AudreyTau...,8.7,https://movie.douban.com/subject/1292215/
完美的世界,A Perfect World,剧情犯罪,美国,1993,导演:克林特·伊斯特伍德ClintEastwood主演:凯文·科斯特纳KevinCos...,9.1,https://movie.douban.com/subject/1300992/
无人知晓,誰も知らない,剧情,日本,2004,导演:是枝裕和HirokazuKoreeda主演:柳乐优弥YûyaYagira,9.1,https://movie.douban.com/subject/1292337/
倩女幽魂,无,爱情奇幻武侠古装,中国香港,1987,导演:程小东Siu-TungChing主演:张国荣LeslieCheung,8.8,https://movie.douban.com/subject/1297447/
小森林 夏秋篇,リトル・フォレスト 夏・秋,剧情,日本,2014,导演:森淳一JunichiMori主演:桥本爱AiHashimoto,9.0,https://movie.douban.com/subject/25814705/
时空恋旅人,About Time,喜剧爱情奇幻,英国,2013,导演:理查德·柯蒂斯RichardCurtis主演:多姆纳尔·格里森DomhnallGl...,8.8,https://movie.douban.com/subject/10577869/
未麻的部屋,Perfect Blue,动画奇幻惊悚,日本,1997,导演:今敏SatoshiKon主演:岩男润子JunkoIwao,9.1,https://movie.douban.com/subject/1395091/
侧耳倾听,耳をすませば,剧情爱情动画,日本,1995,导演:近藤喜文YoshifumiKondo主演:本名阳子YoukoHonna,8.9,https://movie.douban.com/subject/1297052/
哈利·波特与火焰杯,Harry Potter and the Goblet of Fire,悬疑奇幻冒险,英国美国,2005,导演:迈克·内威尔MikeNewell主演:丹尼尔·雷德克里夫DanielRadclif...,8.8,https://movie.douban.com/subject/1309055/
驯龙高手,How to Train Your Dragon,动画奇幻冒险,美国,2010,导演:迪恩·德布洛斯DeanDeBlois,8.8,https://movie.douban.com/subject/2353023/
幸福终点站,The Terminal,喜剧剧情爱情,美国,2004,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:汤姆·汉克斯TomHanks...,8.8,https://movie.douban.com/subject/1292274/
一个叫欧维的男人决定去死,En man som heter Ove,剧情,瑞典,2015,导演:汉内斯·赫尔姆HannesHolm主演:罗夫·拉斯加德RolfLassgård...,8.9,https://movie.douban.com/subject/26628357/
小森林 冬春篇,リトル・フォレスト 冬・春,剧情,日本,2015,导演:森淳一JunichiMori主演:桥本爱AiHashimoto,9.0,https://movie.douban.com/subject/25814707/
